NAME_2,NAME_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long
bogor,caringin,20.999,34.312,26.56,765.651,Tree cover,0.745,4.954,37.072,2024,5,0,-6.7366,106.866
tangerang,kronjo,32.86,80.508,31.91,4.048,Cropland,0.433,0.069,37.105,2023,1,1,-6.0703,106.4282
tangerang selatan,ciputat,43.379,76.475,36.56,44.431,Built-up,0.392,0.212,41.428,2024,3,0,-6.3082,106.7277
Kapuas Hulu,suhaid,58.839,90.291,28.17,35.98,Unknown,0.706,0.291,38.946,2022,11,1,0.6622,112.0102
jakarta timur,cakung,29.924,68.733,39.72,7.969,Built-up,0.147,0.102,38.286,2022,12,0,-6.1885,106.9409
Sintang,ambalau,67.818,102.517,24.48,479.899,Unknown,0.643,4.57,39.143,2022,10,1,-0.0768,112.9908
bogor,leuwisadeng,40.969,78.18,29.93,306.672,Tree cover,0.723,4.096,35.189,2021,8,0,-6.5736,106.5877
kota tangerang,larangan,18.599,57.069,39.19,21.351,Built-up,0.24,0.155,36.16,2021,9,0,-6.2392,106.733
Bengkayang,sungairaya,58.172,87.307,27.8,10.892,Tree Cover,0.726,0.255,26.631,2024,1,1,0.5925,108.9656
tangerang,jambe,62.412,150.854,33.88,43.823,Tree cover,0.616,0.302,36.938,2021,10,0,-6.3238,106.4992
kota bekasi,bekasiutara,48.877,78.387,40.15,13.259,Built-up,0.26,0.12,38.027,2022,11,0,-6.2074,107.0064
kota tangerang,pinang,14.219,39.449,36.84,19.041,Built-up,0.39,0.132,36.721,2024,10,0,-6.2153,106.6662
kota bekasi,bekasiselatan,43.604,63.633,37.82,22.99,Built-up,0.227,0.103,40.472,2024,2,0,-6.2582,106.9778
jakarta barat,grogolpetamburan,21.749,59.587,39.29,6.01,Built-up,0.173,0.06,36.758,2022,9,0,-6.1634,106.7865
tangerang,mekarbaru,30.342,70.594,32.36,4.93,Cropland,0.305,0.066,38.339,2022,12,0,-6.062,106.3871
jakarta selatan,setiabudi,61.189,115.121,37.56,17.99,Built-up,0.22,0.133,38.225,2024,1,0,-6.2196,106.83
bogor,klapanunggal,88.901,154.449,32.75,203.856,Tree cover,0.61,3.061,39.181,2023,11,0,-6.483,106.9553
jakarta utara,pademangan,14.603,23.34,38.24,3.198,Built-up,0.229,0.104,37.159,2020,10,0,-6.1301,106.8381
